,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
40,2.0307534535725913,0.906804146830787,0.7450961271921793,0.14584275820002782,1,hourly,6,"{'est__alpha': 1, 'st__horizon': 'hourly', 'st__window_size': 6}",-275.77746757769194,-264.2338940616631,-273.5559703662198,-271.18911066852496,5.001002632900719,29
41,1.9015209674835205,0.20728012517036495,0.8182220458984375,0.03812486747983214,1,hourly,8,"{'est__alpha': 1, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.43182267564964,-263.9433746920557,-273.2620303001544,-270.8790758892866,4.983637430708718,26
42,0.8989689350128174,0.32250941388450566,0.4051346778869629,0.07458181537947417,1,daily,4,"{'est__alpha': 1, 'st__horizon': 'daily', 'st__window_size': 4}",-610.073594113721,-568.0834594551463,-604.4206008468384,-594.192551471902,18.605601265450726,60
43,1.0838057200113933,0.3626612048754528,0.5644470055898031,0.06055344630125243,1,daily,6,"{'est__alpha': 1, 'st__horizon': 'daily', 'st__window_size': 6}",-609.9771109717516,-567.9593402638078,-604.3224144917428,-594.0862885757674,18.61821633315273,57
44,1.4017883936564128,0.501960742240614,0.6605162620544434,0.0537577470960771,1,daily,8,"{'est__alpha': 1, 'st__horizon': 'daily', 'st__window_size': 8}",-609.8836734549857,-567.8822418359323,-604.2652237944666,-594.0103796951281,18.61722204731963,53
45,0.7376173337300619,0.26838617913540186,0.3819340070088704,0.035485321819415355,10,10min,4,"{'est__alpha': 10, 'st__horizon': '10min', 'st__window_size': 4}",-156.49559440976626,-146.61445824300017,-149.5386451453784,-150.88289926604827,4.144432196111358,7
46,1.3756041526794434,0.585729442215883,0.5732443332672119,0.06967063451767663,10,10min,6,"{'est__alpha': 10, 'st__horizon': '10min', 'st__window_size': 6}",-156.11714968446563,-146.33167764254014,-149.29311816076287,-150.5806484959229,4.09732974377169,3
47,1.6577212015787761,0.24130253553716838,0.6198447545369467,0.0121947079476427,10,10min,8,"{'est__alpha': 10, 'st__horizon': '10min', 'st__window_size': 8}",-156.02183092460177,-146.21231414753294,-149.160068622448,-150.46473789819424,4.1096047084203375,1
48,0.7408203283945719,0.2849879673948825,0.3493458429972331,0.011800629504958679,10,hourly,4,"{'est__alpha': 10, 'st__horizon': 'hourly', 'st__window_size': 4}",-276.7582675865153,-265.11160061200405,-274.440658066418,-272.1035087549791,5.033746986209645,33
49,1.0125359694163005,0.3419860867096399,0.4934980074564616,0.004035949431605451,10,hourly,6,"{'est__alpha': 10, 'st__horizon': 'hourly', 'st__window_size': 6}",-275.77285841790746,-264.2235207564527,-273.5632956728802,-271.18655828241344,5.005560945722036,28
50,1.2836012840270996,0.44907908381910616,0.6263840993245443,0.03689230686645798,10,hourly,8,"{'est__alpha': 10, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.4293666284195,-263.9336931307054,-273.2691473362136,-270.87740236511286,4.988517501663242,25
51,0.7133951187133789,0.261240339039612,0.40135693550109863,0.03803873285739305,10,daily,4,"{'est__alpha': 10, 'st__horizon': 'daily', 'st__window_size': 4}",-610.0668804809789,-568.0804574731352,-604.4202607330394,-594.1891995623845,18.605033167696995,59
52,1.2368563016255696,0.5634917862609131,0.7035836378733317,0.2112044982528887,10,daily,6,"{'est__alpha': 10, 'st__horizon': 'daily', 'st__window_size': 6}",-609.9693342724286,-567.9560895407627,-604.3227684913098,-594.082730768167,18.61758957991524,56
53,1.6338096459706624,0.36567329965033285,0.863935629526774,0.21236483898209899,10,daily,8,"{'est__alpha': 10, 'st__horizon': 'daily', 'st__window_size': 8}",-609.8747500925667,-567.8796803634449,-604.2651106636569,-594.0065137065561,18.61586382693764,52
54,0.8012090524037679,0.2548602071506179,0.5894035498301188,0.27739261296149037,100,10min,4,"{'est__alpha': 100, 'st__horizon': '10min', 'st__window_size': 4}",-156.73323032104682,-146.75929744474098,-149.68333324561476,-151.05862033713422,4.1863584169966925,9
55,1.4975066979726155,0.7008334471230896,0.5363196531931559,0.006874327267804406,100,10min,6,"{'est__alpha': 100, 'st__horizon': '10min', 'st__window_size': 6}",-156.33482965376797,-146.48132075040385,-149.43415400743038,-150.75010147053408,4.12889797414966,6
56,1.8742728233337402,1.0133346733201334,0.8385752042134603,0.041593803850396606,100,10min,8,"{'est__alpha': 100, 'st__horizon': '10min', 'st__window_size': 8}",-156.24107016141065,-146.36514117479794,-149.29810244315553,-150.63477125978804,4.141135591531433,5
57,1.3379453818003337,0.5769605604879541,0.5696025689442953,0.11559692438994551,100,hourly,4,"{'est__alpha': 100, 'st__horizon': 'hourly', 'st__window_size': 4}",-276.8537761086258,-265.13924053131205,-274.5159310528307,-272.16964923092286,5.062039426877858,35
58,1.7343160311381023,0.46059672458562956,0.7339083353678385,0.16722863584159836,100,hourly,6,"{'est__alpha': 100, 'st__horizon': 'hourly', 'st__window_size': 6}",-275.8496407060884,-264.24317664116717,-273.6331737154057,-271.2419970208871,5.0309572654968715,30
59,2.1484804153442383,0.607074892295468,0.860875686009725,0.15102495410905384,100,hourly,8,"{'est__alpha': 100, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.5017807715919,-263.95412952581995,-273.3379386083113,-270.93128296857435,5.0120558556147135,27
60,1.1759030024210613,0.35176620719053003,0.4765756130218506,0.0471564639370753,100,daily,4,"{'est__alpha': 100, 'st__horizon': 'daily', 'st__window_size': 4}",-610.0068333975776,-568.0685387501512,-604.4265629909596,-594.1673117128961,18.594700267789975,58
61,1.6629576683044434,0.7579612894358836,0.9423056443532308,0.3285888933550692,100,daily,6,"{'est__alpha': 100, 'st__horizon': 'daily', 'st__window_size': 6}",-609.9018119844109,-567.9451782499716,-604.3327894884441,-594.0599265742754,18.605349820619633,55
62,2.3300182024637857,0.4992697277671967,0.9076614379882812,0.19550862598167656,100,daily,8,"{'est__alpha': 100, 'st__horizon': 'daily', 'st__window_size': 8}",-609.8031483866961,-567.8713096472977,-604.2737646118303,-593.9827408819414,18.601051082731498,51
63,0.9708873430887858,0.24986383459530098,0.4181970755259196,0.10675186411952466,1000,10min,4,"{'est__alpha': 1000, 'st__horizon': '10min', 'st__window_size': 4}",-158.82265283891135,-148.00500006344427,-150.72100335305328,-152.51621875180297,4.5951062112188925,20
64,1.103688637415568,0.3339984864957852,0.5136274496714274,0.012046199985390697,1000,10min,6,"{'est__alpha': 1000, 'st__horizon': '10min', 'st__window_size': 6}",-158.36813642762752,-147.78512758147812,-150.47374422373352,-152.20900274427973,4.491351738564924,15
65,1.3850367069244385,0.5033757154625553,0.6463166077931722,0.008546448401045072,1000,10min,8,"{'est__alpha': 1000, 'st__horizon': '10min', 'st__window_size': 8}",-158.31672276732405,-147.69252434419252,-150.33709955174893,-152.11544888775518,4.515919456336143,14
66,0.7662355899810791,0.2566531519219353,0.3452339967091878,0.017813505540352062,1000,hourly,4,"{'est__alpha': 1000, 'st__horizon': 'hourly', 'st__window_size': 4}",-277.50168238667925,-265.4684716225383,-274.91014322555316,-272.6267657449236,5.17106693457899,36
67,1.0323334534962971,0.36399938386225744,0.49764664967854816,0.0010097407543126168,1000,hourly,6,"{'est__alpha': 1000, 'st__horizon': 'hourly', 'st__window_size': 6}",-276.3847982392559,-264.5595243932539,-273.9538167289385,-271.6327131204827,5.09901407817394,32
68,1.3772488435109456,0.5117189274273739,0.63210129737854,0.012529642935508055,1000,hourly,8,"{'est__alpha': 1000, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.987483450338,-264.2569220113093,-273.63753413777516,-271.2939798664742,5.067590017987287,31
69,0.7897230784098307,0.29030459746744164,0.37239734331766766,0.02044301033193651,1000,daily,4,"{'est__alpha': 1000, 'st__horizon': 'daily', 'st__window_size': 4}",-609.4494778026167,-568.1301051154596,-604.5749101294041,-594.0514976824935,18.436906771670245,54
70,1.0476893583933513,0.39504750748438494,0.5146299997965494,0.01941738813655436,1000,daily,6,"{'est__alpha': 1000, 'st__horizon': 'daily', 'st__window_size': 6}",-609.3414478661482,-567.9919909451822,-604.478163169147,-593.9372006601592,18.453153567464124,50
71,1.1976220607757568,0.2916566523052132,0.4950282573699951,0.1455472881422689,1000,daily,8,"{'est__alpha': 1000, 'st__horizon': 'daily', 'st__window_size': 8}",-609.2355102138865,-567.9111484507331,-604.4198626310382,-593.8555070985526,18.450472887265224,49
